Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
..,com.Group11.soulfulplates.payload.request,CreateCartRequest,getServiceProviderId,3,1,0,26,0,,
..,com.Group11.soulfulplates.payload.request,CreateCartRequest,setServiceProviderId,3,1,1,30,0,,
..,com.Group11.soulfulplates.payload.request,CreateOrderRequest,getUserId,3,1,0,13,0,,
..,com.Group11.soulfulplates.payload.request,CreateOrderRequest,setUserId,3,1,1,17,0,,
..,com.Group11.soulfulplates.payload.request,CreateOrderRequest,getStoreId,3,1,0,21,0,,
..,com.Group11.soulfulplates.payload.request,CreateOrderRequest,setStoreId,3,1,1,25,0,,
..,com.Group11.soulfulplates.payload.request,CreateOrderRequest,getInstructions,3,1,0,29,0,,
..,com.Group11.soulfulplates.payload.request,CreateOrderRequest,setInstructions,3,1,1,33,0,,
..,com.Group11.soulfulplates.payload.request,CreateOrderRequest,getSelectedItems,3,1,0,37,0,,
..,com.Group11.soulfulplates.payload.request,CreateOrderRequest,setSelectedItems,3,1,1,41,0,,
..,com.Group11.soulfulplates.payload.request,CreatePaymentRequest,getUserId,3,1,0,16,0,,
..,com.Group11.soulfulplates.payload.request,CreatePaymentRequest,setUserId,3,1,1,20,0,,
..,com.Group11.soulfulplates.payload.request,CreatePaymentRequest,getStoreId,3,1,0,24,0,,
..,com.Group11.soulfulplates.payload.request,CreatePaymentRequest,setStoreId,3,1,1,28,0,,
..,com.Group11.soulfulplates.payload.request,CreatePaymentRequest,getAmount,3,1,0,32,0,,
..,com.Group11.soulfulplates.payload.request,CreatePaymentRequest,setAmount,3,1,1,36,0,,
..,com.Group11.soulfulplates.payload.request,CreatePaymentRequest,getOrderId,3,1,0,40,0,,
..,com.Group11.soulfulplates.payload.request,CreatePaymentRequest,setOrderId,3,1,1,44,0,,
..,com.Group11.soulfulplates.payload.request,CreatePaymentRequest,getCardNumber,3,1,0,48,0,,
..,com.Group11.soulfulplates.payload.request,CreatePaymentRequest,setCardNumber,3,1,1,52,0,,
..,com.Group11.soulfulplates.payload.request,CreatePaymentRequest,getCardExpiry,3,1,0,56,0,,
..,com.Group11.soulfulplates.payload.request,CreatePaymentRequest,setCardExpiry,3,1,1,60,0,,
..,com.Group11.soulfulplates.payload.request,CreatePaymentRequest,getCvv,3,1,0,64,0,,
..,com.Group11.soulfulplates.payload.request,CreatePaymentRequest,setCvv,3,1,1,68,0,,
..,com.Group11.soulfulplates.payload.request,CreateRatingRequest,CreateRatingRequest,2,1,0,12,0,,
..,com.Group11.soulfulplates.payload.request,CreateRatingRequest,getUserId,3,1,0,17,0,,
..,com.Group11.soulfulplates.payload.request,CreateRatingRequest,setUserId,3,1,1,21,0,,
..,com.Group11.soulfulplates.payload.request,CreateRatingRequest,getStoreId,3,1,0,25,0,,
